BudgetBookVersion	AnalysisGroup	HeadNumber	RevenueDescription	BudgetYear	DataVersion	DataValue
2023/24	TAXES & DUTIES	38	HOTEL OCCUPANCY	2022/23	ORIGINAL	6400
2023/24	TAXES & DUTIES	38	HOTEL OCCUPANCY	2022/23	REVISED	6015
2023/24	TAXES & DUTIES	38	HOTEL OCCUPANCY	2023/24	ESTIMATE	6496
2023/24	TAXES & DUTIES	38	CORPORATE SERVICE TAX	2021/22	ACTUAL	5063
2023/24	TAXES & DUTIES	38	CORPORATE SERVICE TAX	2022/23	ORIGINAL	4848
2023/24	TAXES & DUTIES	38	CORPORATE SERVICE TAX	2022/23	REVISED	4737
2023/24	TAXES & DUTIES	38	CORPORATE SERVICE TAX	2023/24	ESTIMATE	5250
2023/24	TAXES & DUTIES	38	FINANCIAL SERVICES TAX	2021/22	ACTUAL	14227
2023/24	TAXES & DUTIES	38	FINANCIAL SERVICES TAX	2022/23	ORIGINAL	13501
2023/24	TAXES & DUTIES	38	FINANCIAL SERVICES TAX	2022/23	REVISED	14200
2023/24	TAXES & DUTIES	38	FINANCIAL SERVICES TAX	2023/24	ESTIMATE	14539
2023/24	TAXES & DUTIES	38	TRANSPORT INFRASTRUCTURE TAX	2021/22	ACTUAL	0
2023/24	TAXES & DUTIES	38	TRANSPORT INFRASTRUCTURE TAX	2022/23	ORIGINAL	5900
2023/24	TAXES & DUTIES	38	TRANSPORT INFRASTRUCTURE TAX	2022/23	REVISED	8900
2023/24	TAXES & DUTIES	38	TRANSPORT INFRASTRUCTURE TAX	2023/24	ESTIMATE	11805
2023/24	FEES, PERMITS & LICENCES	03	LIQUOR LICENCES	2021/22	ACTUAL	662
2023/24	FEES, PERMITS & LICENCES	03	LIQUOR LICENCES	2022/23	ORIGINAL	400
2023/24	FEES, PERMITS & LICENCES	03	LIQUOR LICENCES	2022/23	REVISED	800
2023/24	FEES, PERMITS & LICENCES	03	LIQUOR LICENCES	2023/24	ESTIMATE	850
2023/24	FEES, PERMITS & LICENCES	12	OTHER CUSTOMS FEES & CHARGES	2021/22	ACTUAL	1639
2023/24	FEES, PERMITS & LICENCES	12	OTHER CUSTOMS FEES & CHARGES	2022/23	ORIGINAL	1525
2023/24	FEES, PERMITS & LICENCES	12	OTHER CUSTOMS FEES & CHARGES	2022/23	REVISED	2110
2023/24	FEES, PERMITS & LICENCES	12	OTHER CUSTOMS FEES & CHARGES	2023/24	ESTIMATE	2163
2023/24	FEES, PERMITS & LICENCES	12	WHARFAGE	2021/22	ACTUAL	835
2023/24	FEES, PERMITS & LICENCES	12	WHARFAGE	2022/23	ORIGINAL	845
2023/24	FEES, PERMITS & LICENCES	12	WHARFAGE	2022/23	REVISED	845
2023/24	FEES, PERMITS & LICENCES	12	WHARFAGE	2023/24	ESTIMATE	874
2023/24	FEES, PERMITS & LICENCES	13	POST OFFICE	2021/22	ACTUAL	2922
2023/24	FEES, PERMITS & LICENCES	13	POST OFFICE	2022/23	ORIGINAL	3403
2023/24	FEES, PERMITS & LICENCES	13	POST OFFICE	2022/23	REVISED	3392
2023/24	FEES, PERMITS & LICENCES	13	POST OFFICE	2023/24	ESTIMATE	3263
2023/24	FEES, PERMITS & LICENCES	27	IMMIGRATION RECEIPTS	2021/22	ACTUAL	17678
2023/24	FEES, PERMITS & LICENCES	27	IMMIGRATION RECEIPTS	2022/23	ORIGINAL	13758
2023/24	FEES, PERMITS & LICENCES	27	IMMIGRATION RECEIPTS	2022/23	REVISED	17567
2023/24	FEES, PERMITS & LICENCES	27	IMMIGRATION RECEIPTS	2023/24	ESTIMATE	19766
2023/24	FEES, PERMITS & LICENCES	29	TRADE & SERVICE MARK	2021/22	ACTUAL	1770
2023/24	FEES, PERMITS & LICENCES	29	TRADE & SERVICE MARK	2022/23	ORIGINAL	1407
2023/24	FEES, PERMITS & LICENCES	29	TRADE & SERVICE MARK	2022/23	REVISED	1504
2023/24	FEES, PERMITS & LICENCES	29	TRADE & SERVICE MARK	2023/24	ESTIMATE	1580
2023/24	FEES, PERMITS & LICENCES	30	FERRY SERVICES	2021/22	ACTUAL	129
2023/24	FEES, PERMITS & LICENCES	30	FERRY SERVICES	2022/23	ORIGINAL	695
2023/24	FEES, PERMITS & LICENCES	30	FERRY SERVICES	2022/23	REVISED	696
2023/24	FEES, PERMITS & LICENCES	30	FERRY SERVICES	2023/24	ESTIMATE	1098
2023/24	FEES, PERMITS & LICENCES	30	SERVICES TO SEABORNE SHIPPING	2021/22	ACTUAL	2272
2023/24	FEES, PERMITS & LICENCES	30	SERVICES TO SEABORNE SHIPPING	2022/23	ORIGINAL	3263
2023/24	FEES, PERMITS & LICENCES	30	SERVICES TO SEABORNE SHIPPING	2022/23	REVISED	3437
2023/24	FEES, PERMITS & LICENCES	30	SERVICES TO SEABORNE SHIPPING	2023/24	ESTIMATE	3599
2023/24	FEES, PERMITS & LICENCES	32	PLANNING FEES AND SEARCHES	2021/22	ACTUAL	1389
2023/24	FEES, PERMITS & LICENCES	32	PLANNING FEES AND SEARCHES	2022/23	ORIGINAL	1233
2023/24	FEES, PERMITS & LICENCES	32	PLANNING FEES AND SEARCHES	2022/23	REVISED	1233
2023/24	FEES, PERMITS & LICENCES	32	PLANNING FEES AND SEARCHES	2023/24	ESTIMATE	1255
2023/24	FEES, PERMITS & LICENCES	34	VEHICLE LICENCES AND REGISTRATION	2021/22	ACTUAL	31089
2023/24	FEES, PERMITS & LICENCES	34	VEHICLE LICENCES AND REGISTRATION	2022/23	ORIGINAL	29250
2023/24	FEES, PERMITS & LICENCES	34	VEHICLE LICENCES AND REGISTRATION	2022/23	REVISED	29245
2023/24	FEES, PERMITS & LICENCES	34	VEHICLE LICENCES AND REGISTRATION	2023/24	ESTIMATE	30000
2023/24	FEES, PERMITS & LICENCES	35	BUS REVENUES	2021/22	ACTUAL	1483
2023/24	FEES, PERMITS & LICENCES	35	BUS REVENUES	2022/23	ORIGINAL	2849
2023/24	FEES, PERMITS & LICENCES	35	BUS REVENUES	2022/23	REVISED	3307
2023/24	FEES, PERMITS & LICENCES	35	BUS REVENUES	2023/24	ESTIMATE	3307
2023/24	FEES, PERMITS & LICENCES	36	SOLID WASTE	2021/22	ACTUAL	4315
2023/24	FEES, PERMITS & LICENCES	36	SOLID WASTE	2022/23	ORIGINAL	4299
2023/24	FEES, PERMITS & LICENCES	36	SOLID WASTE	2022/23	REVISED	4635
2023/24	FEES, PERMITS & LICENCES	36	SOLID WASTE	2023/24	ESTIMATE	4867
2023/24	FEES, PERMITS & LICENCES	36	WATER	2021/22	ACTUAL	3599
2023/24	FEES, PERMITS & LICENCES	36	WATER	2022/23	ORIGINAL	3659
2023/24	FEES, PERMITS & LICENCES	36	WATER	2022/23	REVISED	3573
2023/24	FEES, PERMITS & LICENCES	36	WATER	2023/24	ESTIMATE	4436
2023/24	FEES, PERMITS & LICENCES	36	RENTALS	2021/22	ACTUAL	2625
2023/24	FEES, PERMITS & LICENCES	36	RENTALS	2022/23	ORIGINAL	2634
2023/24	FEES, PERMITS & LICENCES	36	RENTALS	2022/23	REVISED	2765
2023/24	FEES, PERMITS & LICENCES	36	RENTALS	2023/24	ESTIMATE	2765
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES - INTERNATIONAL	2021/22	ACTUAL	62554
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES - INTERNATIONAL	2022/23	ORIGINAL	63840
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES - INTERNATIONAL	2022/23	REVISED	64330
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES - INTERNATIONAL	2023/24	ESTIMATE	71639
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES LOCAL	2021/22	ACTUAL	2635
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES LOCAL	2022/23	ORIGINAL	2700
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES LOCAL	2022/23	REVISED	2700
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES LOCAL	2023/24	ESTIMATE	3300
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES LICENCES	2021/22	ACTUAL	794
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES LICENCES	2022/23	ORIGINAL	865
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES LICENCES	2022/23	REVISED	845
2023/24	FEES, PERMITS & LICENCES	39	COMPANIES LICENCES	2023/24	ESTIMATE	1460
2023/24	FEES, PERMITS & LICENCES	48	CIVIL AVIATION RECEIPTS	2021/22	ACTUAL	20632
2023/24	FEES, PERMITS & LICENCES	48	CIVIL AVIATION RECEIPTS	2022/23	ORIGINAL	17800
2023/24	FEES, PERMITS & LICENCES	48	CIVIL AVIATION RECEIPTS	2022/23	REVISED	0
2023/24	FEES, PERMITS & LICENCES	48	CIVIL AVIATION RECEIPTS	2023/24	ESTIMATE	0
2023/24	FEES, PERMITS & LICENCES	79	PLANT PRODUCTION & MARKETING CTRE	2021/22	ACTUAL	194
2023/24	FEES, PERMITS & LICENCES	79	PLANT PRODUCTION & MARKETING CTRE	2022/23	ORIGINAL	191
2023/24	FEES, PERMITS & LICENCES	79	PLANT PRODUCTION & MARKETING CTRE	2022/23	REVISED	187
2023/24	FEES, PERMITS & LICENCES	79	PLANT PRODUCTION & MARKETING CTRE	2023/24	ESTIMATE	216
2023/24	FEES, PERMITS & LICENCES	89	TELECOMMUNICATIONS RECEIPTS	2021/22	ACTUAL	17045
2023/24	FEES, PERMITS & LICENCES	89	TELECOMMUNICATIONS RECEIPTS	2022/23	ORIGINAL	16757
2023/24	FEES, PERMITS & LICENCES	89	TELECOMMUNICATIONS RECEIPTS	2022/23	REVISED	16392
2023/24	FEES, PERMITS & LICENCES	89	TELECOMMUNICATIONS RECEIPTS	2023/24	ESTIMATE	17098
2023/24	OTHER RECEIPTS	03	FINES AND FORFEITURES	2021/22	ACTUAL	1741
